"nest_id","clutch_size","egg_number","maleplumage","ring_female","cc_female","season","layday","laydate","L_egg","W_egg","egg_vol","november","Laying_Day"
"LSP1819111",3,2,"black-white","UFVCAF000281","al db db lg","2018_19",114,"22/02/2019",17.78,12.53,1423.652761,"01/11/2018",114
"LSP1819111",3,3,"black-white","UFVCAF000281","al db db lg","2018_19",114,"22/02/2019",17.82,12.44,1406.431668,"01/11/2018",114
"LSP1819112",1,1,"black-white","UFVCAF000250","al db wh og","2018_19",127,"07/03/2019",17.49,12.85,1472.876188,"01/11/2018",127
"LSP1819113",2,1,"black-white","UFVCAF000282","al re og wh","2018_19",115,"23/02/2019",18.54,12.99,1595.505142,"01/11/2018",115
"LSP1819113",2,2,"black-white","UFVCAF000282","al re og wh","2018_19",115,"23/02/2019",17.97,12.59,1452.679184,"01/11/2018",115
"LSP1819114",2,1,"black-white","UFVCAF000280","al re wh db","2018_19",117,"25/02/2019",17.49,12.02,1288.75072,"01/11/2018",117
"LSP1819114",2,2,"black-white","UFVCAF000280","al re wh db","2018_19",117,"25/02/2019",17.71,12.03,1307.133641,"01/11/2018",117
"LSP1819116",2,1,"black-white","UFVCAF000204","al re db ye","2018_19",117,"25/02/2019",16.66,12.6,1348.920216,"01/11/2018",117
"LSP1819116",2,2,"black-white","UFVCAF000204","al re db ye","2018_19",117,"25/02/2019",16.78,13,1446.2682,"01/11/2018",117
"LSP1819119",2,1,"black-white","UFVCAF000101","al ye db db","2018_19",121,"01/03/2019",17.09,12.05,1265.57047,"01/11/2018",121
"LSP1819119",2,2,"black-white","UFVCAF000101","al ye db db","2018_19",121,"01/03/2019",16.68,12.8,1393.754112,"01/11/2018",121
"LSP1819123",2,1,"black-white","UFVCAF000105","al wh wh dg","2018_19",126,"06/03/2019",17.81,12.63,1448.907954,"01/11/2018",126
"LSP1819123",2,2,"black-white","UFVCAF000105","al wh wh dg","2018_19",126,"06/03/2019",18.11,12.69,1487.345523,"01/11/2018",126
"LSP1819126",2,1,"black-white","UFVCAF000055","al bl pi pi ","2018_19",123,"03/03/2019",17.14,12.56,1378.987319,"01/11/2018",123
"LSP1819126",2,2,"black-white","UFVCAF000055","al bl pi pi ","2018_19",123,"03/03/2019",17.81,12.36,1387.621554,"01/11/2018",123
"LSP1819131",2,1,"black-white","UFVCAF000225","al pu db wh","2018_19",130,"10/03/2019",16.99,12.64,1384.387607,"01/11/2018",130
"LSP1819131",2,2,"black-white","UFVCAF000225","al pu db wh","2018_19",130,"10/03/2019",17.12,12.86,1443.962364,"01/11/2018",130
"LSP1819141",2,1,"black-white","UFVCAF000266","al re wh ye","2018_19",128,"08/03/2019",18.73,12.38,1464.027528,"01/11/2018",128
"LSP1819141",2,2,"black-white","UFVCAF000266","al re wh ye","2018_19",128,"08/03/2019",17.06,12.81,1427.734528,"01/11/2018",128
"LSP1819148",3,1,"black-white","UFVCAF000212","al dg db dg","2018_19",139,"19/03/2019",16.52,12.38,1291.283223,"01/11/2018",139
"LSP1819148",3,2,"black-white","UFVCAF000212","al dg db dg","2018_19",139,"19/03/2019",16.29,12.29,1254.859278,"01/11/2018",139
"LSP1819148",3,3,"black-white","UFVCAF000212","al dg db dg","2018_19",139,"19/03/2019",16.59,12.81,1388.400692,"01/11/2018",139
"LSP1819152",2,1,"black-white","UFVCAF000250","al db wh og","2018_19",140,"20/03/2019",17.25,12.65,1407.797944,"01/11/2018",140
"LSP1819152",2,2,"black-white","UFVCAF000250","al db wh og","2018_19",140,"20/03/2019",17.38,12.88,1470.454783,"01/11/2018",140
"LSP1819156",2,1,"black-white","UFVCAF000212","al dg db dg ","2018_19",148,"28/03/2019",16.74,12.76,1390.038978,"01/11/2018",148
"LSP1819156",2,2,"black-white","UFVCAF000212","al dg db dg ","2018_19",148,"28/03/2019",16.7,12.61,1354.306056,"01/11/2018",148
"LSP1920002",3,1,"black-white","UFVCAF000324","al re dg bl","2019_20",54,"24/12/2019",17.04,12.28,1310.498415,"01/11/2019",54
"LSP1920002",3,2,"black-white","UFVCAF000324","al re dg bl","2019_20",54,"24/12/2019",17.27,11.66,1197.456138,"01/11/2019",54
"LSP1920002",3,3,"black-white","UFVCAF000324","al re dg bl","2019_20",54,"24/12/2019",17.56,11.99,1287.457952,"01/11/2019",54
"LSP1920003",2,1,"black-white","UFVCAF000280","al re wh db","2019_20",54,"24/12/2019",17.19,12.15,1294.191695,"01/11/2019",54
"LSP1920003",2,2,"black-white","UFVCAF000280","al re wh db","2019_20",54,"24/12/2019",16.99,12.45,1343.081162,"01/11/2019",54
"LSP1920004",2,1,"black-white","UFVCAF000347","al bl ye ye","2019_20",60,"30/12/2019",16.86,12.65,1375.969469,"01/11/2019",60
"LSP1920004",2,2,"black-white","UFVCAF000347","al bl ye ye","2019_20",60,"30/12/2019",15.88,12.21,1207.402309,"01/11/2019",60
"LSP1920007",2,1,"black-white","UFVCAF000348","al db wh ye","2019_20",53,"23/12/2019",17,12.48,1350.355968,"01/11/2019",53
"LSP1920007",2,2,"black-white","UFVCAF000348","al db wh ye","2019_20",53,"23/12/2019",16.52,12.74,1367.473992,"01/11/2019",53
"LSP1920009",2,1,"black-white","UFVCAF000334","al bl dg re","2019_20",56,"26/12/2019",17.19,11.85,1231.070015,"01/11/2019",56
"LSP1920009",2,2,"black-white","UFVCAF000334","al bl dg re","2019_20",56,"26/12/2019",17.04,12.39,1334.081554,"01/11/2019",56
"LSP1920010",2,1,"black-white","UFVCAF000329","al bl bl og","2019_20",56,"26/12/2019",18.91,12.35,1470.942242,"01/11/2019",56
"LSP1920010",2,2,"black-white","UFVCAF000329","al bl bl og","2019_20",56,"26/12/2019",18.32,12.6,1483.326432,"01/11/2019",56
"LSP1920011",3,1,"black-white","UFVCAF000281","al db db lg","2019_20",55,"25/12/2019",17.71,12.6,1433.936196,"01/11/2019",55
"LSP1920011",3,2,"black-white","UFVCAF000281","al db db lg","2019_20",55,"25/12/2019",16.7,12.71,1375.8711,"01/11/2019",55
"LSP1920011",3,3,"black-white","UFVCAF000281","al db db lg","2019_20",55,"25/12/2019",17.28,12.66,1412.476808,"01/11/2019",55
"LSP1920012",2,1,"black-white","UFVCAF000742","al dg wh re","2019_20",57,"27/12/2019",16.58,12.07,1231.882377,"01/11/2019",57
"LSP1920012",2,2,"black-white","UFVCAF000742","al dg wh re","2019_20",57,"27/12/2019",16.88,11.81,1200.72185,"01/11/2019",57
"LSP1920013",1,1,"black-white","UFVCAF000322","al bl wh og","2019_20",53,"23/12/2019",16.99,11.92,1231.164447,"01/11/2019",53
"LSP1920014",2,1,"black-white","UFVCAF000201","al re re ye","2019_20",56,"26/12/2019",18.09,11.69,1260.775513,"01/11/2019",56
"LSP1920014",2,2,"black-white","UFVCAF000201","al re re ye","2019_20",56,"26/12/2019",17.58,11.78,1244.169721,"01/11/2019",56
"LSP1920016",3,1,"black-white","UFVCAF000041","al db ye pi","2019_20",60,"30/12/2019",15.88,12.19,1203.450095,"01/11/2019",60
"LSP1920016",3,2,"black-white","UFVCAF000041","al db ye pi","2019_20",60,"30/12/2019",15.83,12.18,1197.693431,"01/11/2019",60
"LSP1920016",3,3,"black-white","UFVCAF000041","al db ye pi","2019_20",60,"30/12/2019",15.89,12.24,1214.106849,"01/11/2019",60
"LSP1920017",2,1,"black-white","UFVCAF000328","al re og wh","2019_20",49,"19/12/2019",17.5,13.3,1578.74325,"01/11/2019",49
"LSP1920017",2,2,"black-white","UFVCAF000328","al re og wh","2019_20",49,"19/12/2019",17.2,13.3,1551.67908,"01/11/2019",49
"LSP1920018",3,1,"black-white","UFVCAF000270","al pu pu pi","2019_20",55,"25/12/2019",15.86,12.13,1190.131529,"01/11/2019",55
"LSP1920018",3,2,"black-white","UFVCAF000270","al pu pu pi","2019_20",55,"25/12/2019",16.54,12.25,1265.837213,"01/11/2019",55
"LSP1920018",3,3,"black-white","UFVCAF000270","al pu pu pi","2019_20",55,"25/12/2019",16.82,12.28,1293.578835,"01/11/2019",55
"LSP1920019",3,1,"black-white","UFVCAF000336","al bl re dg","2019_20",64,"03/01/2020",17.2,12.42,1353.137141,"01/11/2019",64
"LSP1920019",3,2,"black-white","UFVCAF000336","al bl re dg","2019_20",64,"03/01/2020",17.11,12.64,1394.165507,"01/11/2019",64
"LSP1920019",3,3,"black-white","UFVCAF000336","al bl re dg","2019_20",64,"03/01/2020",17.38,12.73,1436.404495,"01/11/2019",64
"LSP1920020",2,1,"black-white","UFVCAF000317","al re bl og","2019_20",58,"28/12/2019",17.2,11.46,1152.040795,"01/11/2019",58
"LSP1920020",2,2,"black-white","UFVCAF000317","al re bl og","2019_20",58,"28/12/2019",17.34,11.5,1169.53965,"01/11/2019",58
"LSP1920022",2,1,"black-white","UFVCAF000280","al re wh db","2019_20",64,"03/01/2020",17.09,11.75,1203.338944,"01/11/2019",64
"LSP1920022",2,2,"black-white","UFVCAF000280","al re wh db","2019_20",64,"03/01/2020",17.62,11.8,1251.238488,"01/11/2019",64
"LSP1920025",2,1,"black-white","UFVCAF000747","al re dg db","2019_20",66,"05/01/2020",16.63,11.65,1151.103239,"01/11/2019",66
"LSP1920025",2,2,"black-white","UFVCAF000747","al re dg db","2019_20",66,"05/01/2020",16.84,11.3,1096.652796,"01/11/2019",66
