date,year,avr_temp,max_temp,min_temp,avr_rH,max_rH,min_rH,avr_dewp,max_dewp,min_dewp,avr_hPa,max_hPa,min_hPa,avr_wind_vel,avr_radiation,tot_prec
16/02/2019,2019,21.70833333,25.7,20.2,0.912916667,0.95,0.71,20.18333333,21.6,19,926.6041667,928.7,924.9,0.3125,440.7357143,41.8
11/12/2013,2013,21.89166667,26.8,20.2,0.910833333,0.95,0.71,20.325,22.9,19.1,925.3541667,927.3,922.2,0.916666667,950.1769231,58
05/12/2016,2016,20.96666667,26.1,18.6,0.907916667,0.95,0.71,19.34583333,21.5,17.8,925.0583333,926.8,923.2,0.9875,550.2285714,84
09/02/2022,2022,21.12916667,25.1,19.1,0.9075,0.95,0.71,19.5,21.3,18.2,926.5875,927.8,924.9,0.8875,601.1846154,60.4
24/05/2020,2020,19.24583333,21.9,17.2,0.907083333,0.95,0.71,17.65416667,19.5,15.7,931.9833333,933.6,930.3,0.275,388.0083333,19.8
07/02/2022,2022,21.39583333,24.7,19.7,0.90125,0.95,0.71,19.65416667,21.3,18.4,927.9416667,929.3,925.8,0.658333333,744.2307692,24.4
26/01/2013,2013,22.35416667,26.5,20.8,0.899166667,0.95,0.71,20.56666667,22,19.7,927.3375,929.8,925.3,1.045833333,471.95625,29.4
06/02/2022,2022,21.47916667,25,19.3,0.890833333,0.95,0.71,19.54583333,21.3,18.3,928.5125,930,926.6,0.470833333,646.9846154,48.2
10/11/2018,2018,19.19166667,22.7,16.9,0.889166667,0.95,0.71,17.2625,19.3,16.1,929.0375,931.3,927,0.425,804.5384615,5.2
09/03/2021,2021,21.0875,24.8,19,0.887916667,0.95,0.71,19.125,21,17.8,927.4583333,929.5,925,0.229166667,765.6846154,6.2
08/12/2021,2021,17.6,20.8,16,0.88125,0.95,0.71,15.59583333,18.5,14.4,927.5166667,928.8,925.7,1.604166667,531.94,28.2
25/11/2013,2013,20.5375,24.8,17.9,0.88,0.95,0.71,18.42083333,20.6,16.9,930.0208333,931.9,927.1,0.8125,694.0928571,19.6
15/11/2014,2014,19.6375,22.5,17.4,0.8425,0.95,0.71,16.82916667,19.5,14.7,927.9166667,929.7,925.6,1.879166667,594.0785714,40.4
06/02/2021,2021,21.73333333,25.9,19.9,0.892083333,0.94,0.71,19.80833333,21.8,18.1,925.8041667,927.5,924.2,0.520833333,597.4714286,22.8
09/03/2018,2018,22.3875,26,20.1,0.87625,0.94,0.71,20.19583333,21.7,19.1,927.7041667,929.8,926.4,0.541666667,724.8538462,0.8
29/11/2019,2019,22.18333333,25.2,19.7,0.86,0.94,0.71,19.65,21.3,18.4,927.5625,929.1,925.6,0.604166667,733.8928571,8.2
08/04/2015,2015,18.8625,21.3,17.3,0.814166667,0.94,0.71,15.57916667,17.3,13.9,931.3583333,933.4,928.8,1.495833333,465.275,1
02/11/2022,2022,17.875,20.4,15.1,0.844166667,0.93,0.71,15.16666667,19.1,13.6,931.175,933.3,929,2.3,396.5846154,21.2
14/06/2017,2017,18.325,25.8,14,0.85875,0.92,0.71,15.875,22.7,12.3,934.9916667,936.7,933.5,0.291666667,854.7083333,8.8
11/01/2022,2022,20.78333333,26.6,19.1,0.920833333,0.96,0.7,19.44166667,21.7,18.4,927.1416667,928.6,925.6,0.7375,521.8714286,56.2
20/11/2015,2015,21.67083333,26.9,20.1,0.916666667,0.96,0.7,20.22083333,22.6,18.7,924.7875,926.8,922.7,0.758333333,870.1461538,38.8
28/01/2013,2013,22.575,26.4,20.7,0.899166667,0.96,0.7,20.77916667,22.3,20,929.8458333,931.3,928.5,0.4875,704.3214286,5.6
12/12/2013,2013,21.3125,25.5,19.5,0.89125,0.96,0.7,19.37916667,20.8,18.6,925.0625,926.2,923.7,1.020833333,705.2214286,35.2
17/02/2019,2019,21.3875,26.2,19.9,0.902083333,0.95,0.7,19.65416667,22,19,928.0583333,930,926.6,0.35,686.5846154,29
29/04/2016,2016,18.89166667,22.7,17.1,0.900833333,0.95,0.7,17.2,18.6,15.5,930.7583333,933.2,929.1,0.745833333,544.4545455,15
24/04/2014,2014,20.07916667,24.4,18,0.8975,0.95,0.7,18.30416667,19.6,17.2,930.2625,931.7,928.9,0.208333333,393.2166667,3
07/12/2022,2022,20.87916667,25.7,18.7,0.895,0.95,0.7,18.99583333,21.3,17.8,929.1666667,932.5,925.2,0.445833333,671.9466667,75.4
15/12/2021,2021,22.04583333,25.7,20.3,0.88875,0.95,0.7,20.07916667,22,19.2,927.6875,929.3,925.4,0.620833333,729.6928571,12.8
29/02/2020,2020,22.17916667,25.6,20.3,0.882916667,0.95,0.7,20.05416667,21.2,19.4,931.3208333,932.5,929.6,0.370833333,691.7615385,9.4
06/05/2015,2015,20.3875,24.7,17.3,0.867083333,0.95,0.7,18.04166667,20.2,16.4,931.2125,932.9,928.9,0.629166667,703,1.4
31/03/2013,2013,20.94583333,24.5,18.8,0.866666667,0.95,0.7,18.575,20,17.7,934.1791667,935.6,933,0.675,862.85,0.8
12/12/2019,2019,21.97083333,25.4,19.8,0.863333333,0.95,0.7,19.5375,21.5,18.7,927.175,928.4,925.8,0.558333333,768.0071429,8.6
04/09/2013,2013,17.47083333,19.5,14.4,0.850833333,0.95,0.7,14.88333333,16.6,13.5,933.1458333,936,929.5,0.8875,249.8,22.8
22/09/2022,2022,21.53333333,24.3,19.8,0.832083333,0.95,0.7,18.52083333,19.7,16.8,927.5083333,930.2,925.8,1.079166667,515.575,6
22/09/2020,2020,18.9,22.1,17.5,0.909166667,0.94,0.7,17.37083333,18.4,15.8,932.9333333,935.3,930.1,0.275,146.0666667,15.4
12/01/2016,2016,22.625,26.4,20.9,0.880833333,0.93,0.7,20.50416667,21.9,18.6,927.6791667,929.1,926.5,0.983333333,663.5642857,16.2
10/11/2017,2017,20.6125,23.5,18,0.8225,0.93,0.7,17.45416667,19.2,16.6,927.8083333,929.8,924.8,0.791666667,726.5538462,0.4
14/12/2016,2016,21.97083333,26.6,20,0.912916667,0.96,0.69,20.40833333,22.8,19.2,927.2625,928.6,925.7,0.745833333,612.1666667,121.8
15/05/2022,2022,16.59583333,21.2,11.8,0.878333333,0.96,0.69,14.475,17.4,11.1,930.5708333,933.2,929.1,0.245833333,429,0.4
28/11/2014,2014,21.46666667,26,18.8,0.89625,0.95,0.69,19.64583333,21.6,17.8,929.1666667,930.7,927.7,0.633333333,890.7230769,24.8
05/05/2015,2015,20.4875,24.7,18.1,0.892083333,0.95,0.69,18.59583333,20.3,17.1,931.2291667,933.1,929.4,0.358333333,646.1833333,16.8
08/02/2022,2022,21.62083333,25.4,19.4,0.890416667,0.95,0.69,19.675,21.6,18.3,927.1541667,928.8,925.1,0.683333333,941.9769231,31.4
23/11/2015,2015,21.70416667,25.8,19.1,0.88875,0.95,0.69,19.725,21.8,17.6,925.9291667,928.8,921.9,0.879166667,520.1857143,32
12/02/2021,2021,21.02916667,25.5,18.1,0.885416667,0.95,0.69,18.96666667,20.5,17.3,929.9833333,931.4,928.4,0.15,585.4846154,18.2
21/12/2013,2013,20.48333333,25.3,18.4,0.8825,0.95,0.69,18.42916667,20.9,15.5,923.7041667,925.5,922.1,0.670833333,754.8285714,22.2
